INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162022446,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,577,Y,2016-03-22 23:33:00,2016,3,Tuesday,23,Part One,SCHOOL ST,42.31550475,-71.10051479,"(42.31550475, -71.10051479)"
I162022446,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,577,Y,2016-03-22 23:33:00,2016,3,Tuesday,23,Part One,SCHOOL ST,42.31550475,-71.10051479,"(42.31550475, -71.10051479)"
I162022446,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,577,Y,2016-03-22 23:33:00,2016,3,Tuesday,23,Part Three,SCHOOL ST,42.31550475,-71.10051479,"(42.31550475, -71.10051479)"
I162022446,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,577,Y,2016-03-22 23:33:00,2016,3,Tuesday,23,Part Three,SCHOOL ST,42.31550475,-71.10051479,"(42.31550475, -71.10051479)"
I162030585,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2016-04-20 11:19:00,2016,4,Wednesday,11,Part One,WALNUT PARK,42.31534411,-71.09584709,"(42.31534411, -71.09584709)"
I162032844,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,303,Y,2016-04-27 22:54:00,2016,4,Wednesday,22,Part One,WALNUT PARK,42.31591905,-71.09691295,"(42.31591905, -71.09691295)"
I162044152,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2016-06-05 02:41:00,2016,6,Sunday,2,Part One,HORAN WAY,42.32547536,-71.10253482,"(42.32547536, -71.10253482)"
I162067894,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,Y,2016-08-21 22:40:00,2016,8,Sunday,22,Part One,DIXWELL ST,42.31433402,-71.09791405,"(42.31433402, -71.09791405)"
I162069476,03125,Warrant Arrests,WARRANT ARREST,E13,634,Y,2016-08-27 03:33:00,2016,8,Saturday,3,Part Three,CENTRE ST,42.32015414,-71.11119859,"(42.32015414, -71.11119859)"
I162069476,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,634,Y,2016-08-27 03:33:00,2016,8,Saturday,3,Part One,CENTRE ST,42.32015414,-71.11119859,"(42.32015414, -71.11119859)"
I162071653,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13, ,Y,2016-09-02 21:10:00,2016,9,Friday,21,Part One,WALDREN RD,,,
I162072272,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2016-09-05 01:41:00,2016,9,Monday,1,Part One,HORAN WAY,42.32547536,-71.10253482,"(42.32547536, -71.10253482)"
I162078997,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,912,Y,2016-09-27 00:56:00,2016,9,Tuesday,0,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I162084852,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13, ,Y,2016-10-16 19:36:00,2016,10,Sunday,19,Part One,SCHOOL ST,,,
I162090282,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,E13,912,Y,2016-11-04 18:30:00,2016,11,Friday,18,Part Two,CHESTNUT TER,42.31548515,-71.10615496,"(42.31548515, -71.10615496)"
I162090282,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2016-11-04 18:30:00,2016,11,Friday,18,Part One,CHESTNUT TER,42.31548515,-71.10615496,"(42.31548515, -71.10615496)"
I162100329,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2016-12-09 04:09:00,2016,12,Friday,4,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I162100329,03125,Warrant Arrests,WARRANT ARREST,E13,912,Y,2016-12-09 04:09:00,2016,12,Friday,4,Part Three,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
