INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172004542,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2017-01-17 22:05:00,2017,1,Tuesday,22,Part One,CENTRE ST,42.32290252,-71.10220402,"(42.32290252, -71.10220402)"
I172026026,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2017-04-03 23:06:00,2017,4,Monday,23,Part One,WALNUT PARK,42.31591905,-71.09691295,"(42.31591905, -71.09691295)"
I172031688,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2017-04-25 12:45:00,2017,4,Tuesday,12,Part One,WALNUT PARK,42.31451479,-71.0947082,"(42.31451479, -71.09470820)"
I172032306,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,946,Y,2017-04-25 18:23:00,2017,4,Tuesday,18,Part One,METCALF CT,42.30536762,-71.115715,"(42.30536762, -71.11571500)"
I172033610,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,Y,2017-04-30 00:05:00,2017,4,Sunday,0,Part One,WASHINGTON ST,42.31485546,-71.0992241,"(42.31485546, -71.09922410)"
I172046848,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2017-06-12 17:44:00,2017,6,Monday,17,Part One,HEATH ST,42.32610077,-71.10433335,"(42.32610077, -71.10433335)"
I172047604,00301,Robbery,ROBBERY - STREET,E13,912,Y,2017-06-14 18:11:00,2017,6,Wednesday,18,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I172050866,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,303,Y,2017-06-25 00:10:00,2017,6,Sunday,0,Part One,BRAGDON ST,42.31854554,-71.098663,"(42.31854554, -71.09866300)"
I172050864,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2017-06-25 00:11:00,2017,6,Sunday,0,Part One,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I172052541,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,607,Y,2017-06-30 00:42:00,2017,6,Friday,0,Part One,GROTTO GLEN RD,42.32563183,-71.10845359,"(42.32563183, -71.10845359)"
I172052541,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,607,Y,2017-06-30 00:42:00,2017,6,Friday,0,Part One,GROTTO GLEN RD,42.32563183,-71.10845359,"(42.32563183, -71.10845359)"
I172053177,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2017-07-02 02:32:00,2017,7,Sunday,2,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I172059929,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2017-07-24 01:04:00,2017,7,Monday,1,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I172067867,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,303,Y,2017-08-17 15:40:00,2017,8,Thursday,15,Part One,BRAGDON ST,42.31888243,-71.09929423,"(42.31888243, -71.09929423)"
I172081419,03115,Investigate Person,INVESTIGATE PERSON,E13,912,Y,2017-09-29 19:05:00,2017,9,Friday,19,Part Three,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I172085715,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,645,Y,2017-10-14 02:11:00,2017,10,Saturday,2,Part One,CENTRE ST,42.31127465,-71.11448366,"(42.31127465, -71.11448366)"
I172091222,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,E13,912,Y,2017-10-31 23:47:00,2017,10,Tuesday,23,Part Two,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I172091222,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,912,Y,2017-10-31 23:47:00,2017,10,Tuesday,23,Part One,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I172096494,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2017-11-19 04:29:00,2017,11,Sunday,4,Part One,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I172096494,03115,Investigate Person,INVESTIGATE PERSON,E13,906,Y,2017-11-19 04:29:00,2017,11,Sunday,4,Part Three,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I172105110,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part One,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part One,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,03125,Warrant Arrests,WARRANT ARREST,E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part Three,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,03125,Warrant Arrests,WARRANT ARREST,E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part Three,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,03130,Search Warrants,SEARCH WARRANT,E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part Three,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,03130,Search Warrants,SEARCH WARRANT,E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part Three,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part Two,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part Two,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
I172105110,02641,Other,VIOLATION - HAWKER AND PEDDLER,E13,577,Y,2017-12-20 16:57:00,2017,12,Wednesday,16,Part Two,WASHINGTON ST,42.31538436,-71.09870021,"(42.31538436, -71.09870021)"
