INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182005329,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2018-01-20 20:52:00,2018,1,Saturday,20,Part One,WALNUT PARK,42.31591905,-71.09691295,"(42.31591905, -71.09691295)"
I182011422,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,652,Y,2018-02-12 19:09:00,2018,2,Monday,19,Part One,ARBORWAY,42.3031399,-71.11735145,"(42.30313990, -71.11735145)"
I182014711,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2018-02-25 04:37:00,2018,2,Sunday,4,Part One,BICKFORD ST,42.32352724,-71.10222946,"(42.32352724, -71.10222946)"
I182022142,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2018-03-25 02:48:00,2018,3,Sunday,2,Part One,WESTMINSTER AVE,42.31668068,-71.09638886,"(42.31668068, -71.09638886)"
I182033779,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",E13,912,Y,2018-05-04 21:41:00,2018,5,Friday,21,Part Two,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I182033779,03125,Warrant Arrests,WARRANT ARREST,E13,912,Y,2018-05-04 21:41:00,2018,5,Friday,21,Part Three,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I182033779,03125,Warrant Arrests,WARRANT ARREST,E13,912,Y,2018-05-04 21:41:00,2018,5,Friday,21,Part Three,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I182033779,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",E13,912,Y,2018-05-04 21:41:00,2018,5,Friday,21,Part Two,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I182033779,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,912,Y,2018-05-04 21:41:00,2018,5,Friday,21,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I182033779,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,912,Y,2018-05-04 21:41:00,2018,5,Friday,21,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)"
I182033842,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2018-05-05 02:14:00,2018,5,Saturday,2,Part One,WARDMAN RD,42.31529421,-71.09486034,"(42.31529421, -71.09486034)"
I182055198,03125,Warrant Arrests,WARRANT ARREST,E13,304,Y,2018-07-13 14:01:00,2018,7,Friday,14,Part Three,WASHINGTON ST,42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
I182055198,01845,Drug Violation,DRUGS - POSS CLASS D,E13,304,Y,2018-07-13 14:01:00,2018,7,Friday,14,Part Two,WASHINGTON ST,42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
I182055198,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,304,Y,2018-07-13 14:01:00,2018,7,Friday,14,Part One,WASHINGTON ST,42.31667114,-71.09743705,"(42.31667114, -71.09743705)"
I182061280,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,307,Y,2018-08-02 21:49:00,2018,8,Thursday,21,Part One,WARDMAN RD,42.31529421,-71.09486034,"(42.31529421, -71.09486034)"
I182061662,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,912,Y,2018-08-04 02:12:00,2018,8,Saturday,2,Part One,LAMARTINE ST,42.32214915,-71.10091019,"(42.32214915, -71.10091019)"
I182070974,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2018-09-03 23:48:00,2018,9,Monday,23,Part One,HEATH ST,42.32610077,-71.10433335,"(42.32610077, -71.10433335)"
I182071566,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,572,Y,2018-09-05 19:01:00,2018,9,Wednesday,19,Part One,SCHOOL ST,42.31284459,-71.09676806,"(42.31284459, -71.09676806)"
I182076789,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,651,Y,2018-09-22 21:46:00,2018,9,Saturday,21,Part One,SOUTH ST,42.30512949,-71.11461873,"(42.30512949, -71.11461873)"
I182077846,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13, ,Y,2018-09-26 14:45:00,2018,9,Wednesday,14,Part One,,,,
I182093688,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,916,Y,2018-11-19 17:45:00,2018,11,Monday,17,Part One,BICKFORD ST,42.32483301,-71.10164757,"(42.32483301, -71.10164757)"
I182094352,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,579,Y,2018-11-22 00:59:00,2018,11,Thursday,0,Part One,HOFFMAN ST,42.3204964,-71.10281106,"(42.32049640, -71.10281106)"
I182094714,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",E13,307,Y,2018-11-24 01:35:00,2018,11,Saturday,1,Part One,WESTMINSTER AVE,42.31609763,-71.09524853,"(42.31609763, -71.09524853)"
I182097014,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,906,Y,2018-12-01 22:00:00,2018,12,Saturday,22,Part One,HEATH ST,42.32638832,-71.10181751,"(42.32638832, -71.10181751)"
