INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172005603,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,393,Y,2017-01-21 16:45:00,2017,1,Saturday,16,Part One,MONSIGNOR PATRICK J. LYDO,42.28866198,-71.06130524,"(42.28866198, -71.06130524)"
I172007832,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,342,Y,2017-01-29 06:52:00,2017,1,Sunday,6,Part One,BOWDOIN ST,42.3036967,-71.07104897,"(42.30369670, -71.07104897)"
I172007832,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,342,Y,2017-01-29 06:52:00,2017,1,Sunday,6,Part Two,BOWDOIN ST,42.3036967,-71.07104897,"(42.30369670, -71.07104897)"
I172008070,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,359,Y,2017-01-30 06:24:00,2017,1,Monday,6,Part One,REGINA RD,42.29524857,-71.07108773,"(42.29524857, -71.07108773)"
I172009839,01874,Drug Violation,DRUGS - OTHER,C11,346,Y,2017-02-05 17:49:00,2017,2,Sunday,17,Part Two,JULIETTE ST,42.30584423,-71.06261555,"(42.30584423, -71.06261555)"
I172009839,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,346,Y,2017-02-05 17:49:00,2017,2,Sunday,17,Part One,JULIETTE ST,42.30584423,-71.06261555,"(42.30584423, -71.06261555)"
I172019108,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,347,Y,2017-03-10 16:36:00,2017,3,Friday,16,Part Two,ADAMS ST,42.30618185,-71.06187015,"(42.30618185, -71.06187015)"
I172019108,02660,Other,OTHER OFFENSE,C11,347,Y,2017-03-10 16:36:00,2017,3,Friday,16,Part Two,ADAMS ST,42.30618185,-71.06187015,"(42.30618185, -71.06187015)"
I172019108,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,347,Y,2017-03-10 16:36:00,2017,3,Friday,16,Part One,ADAMS ST,42.30618185,-71.06187015,"(42.30618185, -71.06187015)"
I172019108,03125,Warrant Arrests,WARRANT ARREST,C11,347,Y,2017-03-10 16:36:00,2017,3,Friday,16,Part Three,ADAMS ST,42.30618185,-71.06187015,"(42.30618185, -71.06187015)"
I172019108,01510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,C11,347,Y,2017-03-10 16:36:00,2017,3,Friday,16,Part Two,ADAMS ST,42.30618185,-71.06187015,"(42.30618185, -71.06187015)"
I172024077,03410,Towed,TOWED MOTOR VEHICLE,C11,345,Y,2017-03-28 13:00:00,2017,3,Tuesday,13,Part Three,RIDGEWOOD ST,42.30209443,-71.06575183,"(42.30209443, -71.06575183)"
I172024077,03130,Search Warrants,SEARCH WARRANT,C11,345,Y,2017-03-28 13:00:00,2017,3,Tuesday,13,Part Three,RIDGEWOOD ST,42.30209443,-71.06575183,"(42.30209443, -71.06575183)"
I172024077,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,345,Y,2017-03-28 13:00:00,2017,3,Tuesday,13,Part One,RIDGEWOOD ST,42.30209443,-71.06575183,"(42.30209443, -71.06575183)"
I172026760,01402,Vandalism,VANDALISM,C11,336,Y,2017-04-06 15:10:00,2017,4,Thursday,15,Part Two,BOWDOIN ST,42.30536545,-71.06812632,"(42.30536545, -71.06812632)"
I172026760,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,336,Y,2017-04-06 15:10:00,2017,4,Thursday,15,Part One,BOWDOIN ST,42.30536545,-71.06812632,"(42.30536545, -71.06812632)"
I172028584,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,2017-04-12 19:59:00,2017,4,Wednesday,19,Part One,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
I172028584,03119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,C11,332,Y,2017-04-12 19:59:00,2017,4,Wednesday,19,Part Three,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
I172028584,03125,Warrant Arrests,WARRANT ARREST,C11,332,Y,2017-04-12 19:59:00,2017,4,Wednesday,19,Part Three,COLUMBIA RD,42.31363409,-71.06778025,"(42.31363409, -71.06778025)"
I172028837,01874,Drug Violation,DRUGS - OTHER,C11,382,Y,2017-04-13 16:12:00,2017,4,Thursday,16,Part Two,GALLIVAN BLVD,42.28262406,-71.05532964,"(42.28262406, -71.05532964)"
I172028837,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,382,Y,2017-04-13 16:12:00,2017,4,Thursday,16,Part Two,GALLIVAN BLVD,42.28262406,-71.05532964,"(42.28262406, -71.05532964)"
I172028837,03114,Investigate Property,INVESTIGATE PROPERTY,C11,382,Y,2017-04-13 16:12:00,2017,4,Thursday,16,Part Three,GALLIVAN BLVD,42.28262406,-71.05532964,"(42.28262406, -71.05532964)"
I172028837,00111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,382,Y,2017-04-13 16:12:00,2017,4,Thursday,16,Part One,GALLIVAN BLVD,42.28262406,-71.05532964,"(42.28262406, -71.05532964)"
I172029428,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,360,Y,2017-04-15 16:53:00,2017,4,Saturday,16,Part One,BOURNESIDE ST,42.29766417,-71.06280134,"(42.29766417, -71.06280134)"
I172033274,01402,Vandalism,VANDALISM,C11,332,Y,2017-04-28 22:27:00,2017,4,Friday,22,Part Two,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
I172033274,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,2017-04-28 22:27:00,2017,4,Friday,22,Part One,TRULL ST,42.31250816,-71.06546757,"(42.31250816, -71.06546757)"
