INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I152052391,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,377,Y,2015-06-24 19:44:00,2015,6,Wednesday,19,Part One,S MUNROE TER,42.29214062,-71.0520224,"(42.29214062, -71.05202240)"
I152055092,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,462,Y,2015-07-04 02:39:00,2015,7,Saturday,2,Part One,ROSSETER ST,42.30116123,-71.07284279,"(42.30116123, -71.07284279)"
I152055092,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,462,Y,2015-07-04 02:39:00,2015,7,Saturday,2,Part One,ROSSETER ST,42.30116123,-71.07284279,"(42.30116123, -71.07284279)"
I152053353,03130,Search Warrants,SEARCH WARRANT,C11,364,Y,2015-07-23 11:12:00,2015,7,Thursday,11,Part Three,BRENT ST,42.29026471,-71.06599003,"(42.29026471, -71.06599003)"
I152053353,01503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",C11,364,Y,2015-07-23 11:12:00,2015,7,Thursday,11,Part Two,BRENT ST,42.29026471,-71.06599003,"(42.29026471, -71.06599003)"
I152053353,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,364,Y,2015-07-23 11:12:00,2015,7,Thursday,11,Part One,BRENT ST,42.29026471,-71.06599003,"(42.29026471, -71.06599003)"
I152063708,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,337,Y,2015-08-02 03:38:00,2015,8,Sunday,3,Part One,COLUMBIA RD,42.30723714,-71.07623393,"(42.30723714, -71.07623393)"
I152067039,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,336,Y,2015-08-13 16:36:00,2015,8,Thursday,16,Part One,NORTON ST,42.30626521,-71.06864556,"(42.30626521, -71.06864556)"
I152067039,01503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",C11,336,Y,2015-08-13 16:36:00,2015,8,Thursday,16,Part Two,NORTON ST,42.30626521,-71.06864556,"(42.30626521, -71.06864556)"
I152067039,03125,Warrant Arrests,WARRANT ARREST,C11,336,Y,2015-08-13 16:36:00,2015,8,Thursday,16,Part Three,NORTON ST,42.30626521,-71.06864556,"(42.30626521, -71.06864556)"
I152067124,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,2015-08-14 01:51:00,2015,8,Friday,1,Part One,HANCOCK ST,42.31319382,-71.06500833,"(42.31319382, -71.06500833)"
I152067124,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,332,Y,2015-08-14 01:51:00,2015,8,Friday,1,Part One,HANCOCK ST,42.31319382,-71.06500833,"(42.31319382, -71.06500833)"
I152067405,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,337,Y,2015-08-14 21:43:00,2015,8,Friday,21,Part One,EVERTON ST,42.30481467,-71.07218295,"(42.30481467, -71.07218295)"
I152069800,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,462,Y,2015-08-23 01:44:00,2015,8,Sunday,1,Part One,ROSSETER ST,42.30270433,-71.0734249,"(42.30270433, -71.07342490)"
