INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212006984,3114,,INVESTIGATE PROPERTY,E5,910,1,2021-02-02 00:37:00,2021,2,Tuesday,0,,UNITY WAY,42.27673861845308,-71.13696567548538,"(42.27673861845308, -71.13696567548538)"
212010358,3114,,INVESTIGATE PROPERTY,E5,702,1,2021-02-16 20:25:00,2021,2,Tuesday,20,,PARK ST,42.29803749209962,-71.06265389996429,"(42.29803749209962, -71.06265389996429)"
212024227,1402,,VANDALISM,E5, ,1,2021-04-14 22:30:00,2021,4,Wednesday,22,,STELLMAN RD,42.28919901551304,-71.123091950958,"(42.28919901551304, -71.123091950958)"
212025337,1402,,VANDALISM,E5,561,1,2021-04-19 20:33:00,2021,4,Monday,20,,SYCAMORE ST,42.28693289813305,-71.12223505598631,"(42.28693289813305, -71.12223505598631)"
212037155,3119,,FIREARM/WEAPON - FOUND OR CONFISCATED,E5,822,1,2021-06-04 16:01:00,2021,6,Friday,16,,GEORGETOWNE DR,42.25943465248271,-71.1479806361386,"(42.25943465248271, -71.1479806361386)"
212046578,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E5,564,1,2021-07-08 11:21:00,2021,7,Thursday,11,,WASHINGTON ST,42.29723411892772,-71.1166928591818,"(42.29723411892772, -71.1166928591818)"
212048148,3018,,SICK/INJURED/MEDICAL - POLICE,E5,564,1,2021-07-08 11:30:00,2021,7,Thursday,11,,WASHINGTON ST,42.29723411892772,-71.1166928591818,"(42.29723411892772, -71.1166928591818)"
212048149,3018,,SICK/INJURED/MEDICAL - POLICE,E5,564,1,2021-07-08 11:30:00,2021,7,Thursday,11,,WASHINGTON ST,42.29723411892772,-71.1166928591818,"(42.29723411892772, -71.1166928591818)"
212059998,2662,,BALLISTICS EVIDENCE/FOUND,E5, ,1,2021-08-25 11:05:00,2021,8,Wednesday,11,,HIGHCREST RD,42.27442003906775,-71.13863966174264,"(42.27442003906775, -71.13863966174264)"
212061347,3114,,INVESTIGATE PROPERTY,E5,710,1,2021-08-30 00:01:00,2021,8,Monday,0,,WASHINGTON ST,42.26716725505801,-71.15073491192315,"(42.26716725505801, -71.15073491192315)"
212062332,3110,,SERVICE TO OTHER AGENCY,E5,725,1,2021-09-02 10:20:00,2021,9,Thursday,10,,VFW PKWY,42.275052507337016,-71.17307605513598,"(42.275052507337016, -71.17307605513598)"
212071255,3114,,INVESTIGATE PROPERTY,E5,910,1,2021-10-02 21:49:00,2021,10,Saturday,21,,BEECHLAND CIR,42.276248137737966,-71.13646837469076,"(42.276248137737966, -71.13646837469076)"
212077444,3114,,INVESTIGATE PROPERTY,E5,910,1,2021-10-24 00:31:00,2021,10,Sunday,0,,BEECHLAND CIR,42.276859885122775,-71.13757583967137,"(42.276859885122775, -71.13757583967137)"
212078013,423,,ASSAULT - AGGRAVATED,E5,941,1,2021-10-26 00:35:00,2021,10,Tuesday,0,,ARCHDALE RD,42.29220755843223,-71.12043423039732,"(42.29220755843223, -71.12043423039732)"
212080952,3114,,INVESTIGATE PROPERTY,E5, ,1,2021-11-05 01:46:00,2021,11,Friday,1,,"LELAND RD & CREHORE RD
WEST ROXBURY  MA 02467
UNIT",42.297571960324404,-71.1432100541745,"(42.297571960324404, -71.1432100541745)"
212085520,3115,,INVESTIGATE PERSON,E5, ,1,2021-11-22 05:37:00,2021,11,Monday,5,,STELLMAN RD,42.28919901551304,-71.123091950958,"(42.28919901551304, -71.123091950958)"
